model,rmse_rtt_ms,rmse_qdelay_ms
baseline_zero,1868.1315198156844,1853.1052952769276
baseline_persistence,169.98264163153576,169.98264163153576
rtt_graph_seed42,284.94313124009585,284.94313124009585
rtt_graph_seed123,323.3333720217729,323.33337202177296
rtt_graph_seed999,575.9009955753357,575.9009955753357
rtt_graph_ensemble,373.64987017714856,373.64987017714856
