model,horizon,rmse_rtt_ms,rmse_qdelay_ms
baseline_zero,20,1831.5909068348205,1812.323370051794
baseline_persistence,20,444.3759672700646,444.3759672700646
rtt_graph_rtt_graph_seed42,20,538.8761215813142,538.8761215813142
rtt_graph_rtt_graph_seed123,20,525.1890038019533,525.1890038019533
rtt_graph_rtt_graph_seed999,20,509.81056458616206,509.81056458616206
rtt_graph_ensemble,20,519.1894078919564,519.1894078919564
rtt_graph_ensemble_w,20,518.8983030738056,518.8983030738056
