model,horizon,rmse_rtt_ms,rmse_qdelay_ms
baseline_zero,10,1831.9944456068029,1812.7303984972339
baseline_persistence,10,417.019389409207,417.019389409207
rtt_graph_rtt_graph_seed42,10,966.3115424483648,966.3115424483648
rtt_graph_rtt_graph_seed123,10,662.599062901128,662.599062901128
rtt_graph_rtt_graph_seed999,10,2355.030307581827,2355.030307581827
rtt_graph_ensemble,10,1248.0946733216877,1248.0946733216877
rtt_graph_ensemble_w,10,1247.7962016712945,1247.7962016712945
