method,global_RMSE,idle_RMSE,busy_RMSE,idle_FP_rate,idle_mean_pred,n_idle,n_busy
Zero,21.045250918126317,2.1357075007709088,79.91936312628161,0.0,0.0,3241,239
Persistence (y[t-1]),2.5766413137590796,1.9046217679602337,6.890354667772824,0.001234186979327368,0.2091946929959889,3241,239
AR(1) fit on train,2.662116547036915,2.124080765334571,6.481323957966036,0.0018512804689910522,0.35124052959341706,3241,239
"Ridge (alpha=0.01, excl=ar1_next,sensor_backlog)",5.3005853435687555,2.9645626406524515,17.027032183178846,0.002776920703486578,0.2948904562322436,3241,239
