timestamp,iface,rx_bytes_per_s,tx_bytes_per_s,rx_packets_per_s,tx_packets_per_s,rx_dropped_per_s,tx_dropped_per_s,throughput_Mbps,backlog_pkts
2025-12-23 12:31:49.439014+00:00,s1-eth1,793.9894994888692,0.0,9.924868743610865,0.0,0.0,0.0,0.006351915995910954,0
2025-12-23 12:31:49.637860+00:00,s1-eth1,452.6115687516973,0.0,5.029017430574415,0.0,0.0,0.0,0.003620892550013578,0
2025-12-23 12:31:49.839158+00:00,s1-eth1,447.0983318264463,0.0,4.96775924251607,0.0,0.0,0.0,0.0035767866546115704,0
2025-12-23 12:31:50.042234+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:50.248414+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:50.439111+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:50.641046+00:00,s1-eth1,346.64619803402087,346.64619803402087,4.952088543343155,4.952088543343155,0.0,0.0,0.005546339168544334,0
2025-12-23 12:31:50.839264+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:51.038512+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:51.238952+00:00,s1-eth1,0.0,349.23169028138096,0.0,4.98902414687687,0.0,0.0,0.0027938535222510478,0
2025-12-23 12:31:51.439905+00:00,s1-eth1,0.0,348.34015914168987,0.0,4.976287987738426,0.0,0.0,0.002786721273133519,0
2025-12-23 12:31:51.646433+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:51.842826+00:00,s1-eth1,0.0,356.42818226718873,0.0,5.091831175245553,0.0,0.0,0.00285142545813751,0
2025-12-23 12:31:52.048788+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:52.238620+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:52.438126+00:00,s1-eth1,0.0,350.86664060228765,0.0,5.012380580032681,0.0,0.0,0.0028069331248183013,0
2025-12-23 12:31:52.639948+00:00,s1-eth1,346.84028500361705,0.0,4.954861214337386,0.0,0.0,0.0,0.0027747222800289365,0
2025-12-23 12:31:52.837622+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:53.038486+00:00,s1-eth1,348.49450374382667,0.0,4.978492910626096,0.0,0.0,0.0,0.0027879560299506135,0
2025-12-23 12:31:53.244175+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:53.437879+00:00,s1-eth1,361.3761202659729,0.0,5.162516003799612,0.0,0.0,0.0,0.002891008962127783,0
2025-12-23 12:31:53.638861+00:00,s1-eth1,348.28989660765643,0.0,4.975569951537949,0.0,0.0,0.0,0.0027863191728612516,0
2025-12-23 12:31:53.839191+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:54.061002+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:54.242391+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:54.439774+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:54.641365+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:54.837721+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:55.038469+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:55.238922+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-23 12:31:55.442678+00:00,s1-eth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
