method,global_RMSE,idle_RMSE,busy_RMSE,idle_FP_rate,idle_mean_pred,n_idle,n_busy
Zero,94.69015419358456,0.0,330.3327878566368,0.0,0.0,3809,341
Copy sensor_backlog,0.026886642909413318,0.0,0.09379580996578545,0.0,0.0,3809,341
AR1_next feature,4.304681329331579,0.0,15.017161989676596,0.0,0.0,3809,341
