model,rmse_rtt_ms,rmse_qdelay_ms
baseline_zero,1846.2482883730993,1837.4872945320146
baseline_persistence,554.9817938397499,554.9817938397499
rtt_graph_seed42,553.7833973996213,553.7833973996213
rtt_graph_seed123,557.3147944965225,557.3147944965225
rtt_graph_seed999,559.9391904193253,559.9391904193253
rtt_graph_ensemble,556.313300178221,556.313300178221
