model,rmse_rtt_ms,rmse_qdelay_ms
baseline_zero,1839.5292889818604,1830.7984899450241
baseline_persistence,146.08156309803618,146.08156309803618
rtt_graph_seed42,146.08155592281602,146.08155592281602
rtt_graph_seed123,146.08156364056666,146.08156364056666
rtt_graph_seed999,146.08148454398332,146.08148454398332
rtt_graph_ensemble,146.08153466966266,146.08153466966266
