model,rmse_rtt_ms,rmse_qdelay_ms
baseline_zero,1840.197888572239,1831.4640851634056
baseline_persistence,146.13467401166082,146.13467401166082
rtt_graph_seed42,146.84958206195017,146.84958206195017
rtt_graph_seed123,149.87145979591673,149.87145979591673
rtt_graph_seed999,153.88518039224158,153.88518039224158
rtt_graph_ensemble,147.60112409875072,147.60112409875072
