mode,method,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean,thr_global_rmse,thr_idle_rmse,thr_busy_rmse,thr_idle_fp,thr_idle_mean,delay_global_rmse,delay_idle_rmse,delay_busy_rmse,delay_idle_fp,delay_idle_mean
lead1,zero,queue_pkts,202.11848254677994,129.69370269785853,202.11848254677994,10.238122760667567,706.2277775000435,0.0,0.0,,,,,,,,,,
lead1,zero,throughput_Mbps,1.5360837008005725,1.4688611459398593,,,,,,1.5360837008005725,0.0034098426289283796,1.5495446589505555,0.0,0.0,,,,,
lead1,zero,utilization,0.6716775406419127,0.5953191127691396,,,,,,,,,,,,,,,
lead1,zero,rtt_ms,1840.197888572239,1840.197888572239,,,,,,,,,,,1840.197888572239,nan,1840.197888572239,nan,nan
lead1,persistence,queue_pkts,101.89408041381317,89.82555330179729,101.89408041381317,65.82023250287035,279.9499881546141,0.0156276517508627,9.631583413475138,,,,,,,,,,
lead1,persistence,throughput_Mbps,0.9544108937606401,0.9969086318648694,,,,,,0.9544108937606401,0.8427034558133047,0.9562604340081438,0.283033033033033,0.30597630543662263,,,,,
lead1,persistence,utilization,0.4268357485001269,0.4332916592307022,,,,,,,,,,,,,,,
lead1,persistence,rtt_ms,146.13467401166082,146.1346740116608,,,,,,,,,,,146.13467401166082,nan,146.13467401166082,nan,nan
lead1,ar1,queue_pkts,97.72096583235094,84.81334188987634,97.72096583235094,58.057619579456556,281.04118628187985,0.01477909147479776,7.996594892557102,,,,,,,,,,
lead1,ar1,throughput_Mbps,0.8855725206918287,0.9162818309691778,,,,,,0.8855725206918287,0.5707260766510314,0.8901179397858365,0.28153153153153154,0.2310643070224392,,,,,
lead1,ar1,utilization,0.3942904231094408,0.39467301104347213,,,,,,,,,,,,,,,
lead1,ar1,rtt_ms,146.13467401165758,146.13467401165758,,,,,,,,,,,146.13467401165758,nan,146.13467401165758,nan,nan
lead1,kalman_queue,queue_pkts,108.04810462174189,96.06197759412765,108.04810462174189,69.72133309751136,297.05379989237247,0.04976806019120891,15.427776494849061,,,,,,,,,,
