model,rmse_rtt_ms,rmse_qdelay_ms
baseline_zero,1842.8795987549108,1834.1337443862062
baseline_persistence,361.86392348642426,361.8639234864242
rtt_graph_seed42,361.00800603014017,361.00800603014017
rtt_graph_seed123,364.7605514054725,364.7605514054725
rtt_graph_seed999,367.12963114310026,367.12963114310026
rtt_graph_ensemble,363.2312959804878,363.23129598048774
