timestamp,rtt_ms
2026-01-21 12:20:20.263587072+00:00,27.1
2026-01-21 12:20:20.446254848+00:00,7.62
2026-01-21 12:20:20.649017088+00:00,8.6
2026-01-21 12:20:20.858803968+00:00,15.8
2026-01-21 12:20:21.050912+00:00,6.91
2026-01-21 12:20:21.253197056+00:00,5.75
2026-01-21 12:20:21.454297088+00:00,5.3
2026-01-21 12:20:21.654646016+00:00,4.46
2026-01-21 12:20:21.856312064+00:00,5.09
2026-01-21 12:20:22.057071872+00:00,4.82
2026-01-21 12:20:22.258320128+00:00,4.7
2026-01-21 12:20:22.459543040+00:00,4.52
2026-01-21 12:20:22.661025024+00:00,5.11
2026-01-21 12:20:22.861709056+00:00,5.29
2026-01-21 12:20:23.063467008+00:00,5.85
2026-01-21 12:20:23.264378112+00:00,5.26
2026-01-21 12:20:23.464609024+00:00,4.84
2026-01-21 12:20:23.666891008+00:00,5.23
2026-01-21 12:20:23.867297024+00:00,4.94
2026-01-21 12:20:24.068301056+00:00,5.16
2026-01-21 12:20:24.270510848+00:00,6.39
2026-01-21 12:20:24.470854144+00:00,5.67
2026-01-21 12:20:24.671933952+00:00,5.79
2026-01-21 12:20:24.874001920+00:00,6.27
2026-01-21 12:20:25.076843008+00:00,5.53
2026-01-21 12:20:25.276953088+00:00,4.83
2026-01-21 12:20:25.479009024+00:00,5.73
2026-01-21 12:20:25.680111872+00:00,5.82
2026-01-21 12:20:25.881479936+00:00,5.81
2026-01-21 12:20:26.084253952+00:00,6.67
2026-01-21 12:20:26.285364992+00:00,6.08
2026-01-21 12:20:26.485796864+00:00,5.54
2026-01-21 12:20:26.686353920+00:00,4.98
2026-01-21 12:20:26.887734784+00:00,5.68
2026-01-21 12:20:27.089908992+00:00,6.36
2026-01-21 12:20:27.289680896+00:00,5.04
2026-01-21 12:20:27.491183872+00:00,5.48
2026-01-21 12:20:27.693897984+00:00,7.27
2026-01-21 12:20:27.892678144+00:00,5.46
2026-01-21 12:20:28.096929024+00:00,7.58
2026-01-21 12:20:28.296526080+00:00,5.83
2026-01-21 12:20:28.497582080+00:00,5.39
2026-01-21 12:20:28.699204864+00:00,5.97
2026-01-21 12:20:28.900158976+00:00,6.01
2026-01-21 12:20:29.101732096+00:00,6.15
2026-01-21 12:20:29.301643008+00:00,5.45
2026-01-21 12:20:29.503151872+00:00,5.91
2026-01-21 12:20:29.704765184+00:00,5.93
2026-01-21 12:20:29.905885952+00:00,6.28
2026-01-21 12:20:30.106657024+00:00,5.84
2026-01-21 12:20:30.311469056+00:00,9.44
2026-01-21 12:20:30.509476864+00:00,6.52
2026-01-21 12:20:30.711035136+00:00,6.86
2026-01-21 12:20:30.911802880+00:00,6.45
2026-01-21 12:20:31.113188864+00:00,6.76
2026-01-21 12:20:31.314533888+00:00,6.9
2026-01-21 12:20:31.514992896+00:00,5.38
2026-01-21 12:20:31.716721920+00:00,5.53
2026-01-21 12:20:31.918827008+00:00,6.38
2026-01-21 12:20:32.121152+00:00,7.59
2026-01-21 12:20:32.320392960+00:00,5.49
2026-01-21 12:20:32.522931968+00:00,7.16
2026-01-21 12:20:32.724750080+00:00,7.8
2026-01-21 12:20:32.924411136+00:00,6.18
2026-01-21 12:20:33.125515008+00:00,5.6
2026-01-21 12:20:33.328736+00:00,7.96
2026-01-21 12:20:33.527173120+00:00,5.06
2026-01-21 12:20:33.728168960+00:00,5.65
2026-01-21 12:20:33.930083072+00:00,6.28
2026-01-21 12:20:34.130793216+00:00,5.77
2026-01-21 12:20:34.343235072+00:00,12.3
2026-01-21 12:20:34.537213184+00:00,5.01
2026-01-21 12:20:34.739994880+00:00,7.09
2026-01-21 12:20:34.969017088+00:00,22.4
2026-01-21 12:20:35.154576896+00:00,6.75
2026-01-21 12:20:35.354238976+00:00,5.49
2026-01-21 12:20:35.555314176+00:00,5.59
2026-01-21 12:20:35.771107840+00:00,7.29
2026-01-21 12:20:35.969785856+00:00,4.85
2026-01-21 12:20:36.198280960+00:00,16.1
2026-01-21 12:20:36.405533184+00:00,15.8
2026-01-21 12:20:36.631289856+00:00,22.0
2026-01-21 12:20:36.858278144+00:00,41.0
2026-01-21 12:20:37.025110016+00:00,7.29
2026-01-21 12:20:37.308314112+00:00,5.47
2026-01-21 12:20:37.510725888+00:00,6.51
2026-01-21 12:20:37.733016064+00:00,6.22
2026-01-21 12:20:37.934541056+00:00,6.44
2026-01-21 12:20:38.141084928+00:00,9.92
2026-01-21 12:20:38.336668928+00:00,5.18
2026-01-21 12:20:38.539251200+00:00,7.47
2026-01-21 12:20:38.747769088+00:00,15.0
2026-01-21 12:20:38.941304832+00:00,7.27
2026-01-21 12:20:39.142407936+00:00,6.88
2026-01-21 12:20:39.357396992+00:00,18.9
2026-01-21 12:20:39.544867072+00:00,6.34
2026-01-21 12:20:39.772584960+00:00,19.6
2026-01-21 12:20:39.971808+00:00,15.3
2026-01-21 12:20:40.163200+00:00,4.78
2026-01-21 12:20:40.387751168+00:00,8.53
2026-01-21 12:20:40.588924928+00:00,6.62
2026-01-21 12:20:40.799230208+00:00,12.1
2026-01-21 12:20:40.997741824+00:00,9.06
2026-01-21 12:20:41.215719936+00:00,25.1
2026-01-21 12:20:41.398170112+00:00,6.77
2026-01-21 12:20:41.603305984+00:00,10.3
2026-01-21 12:20:41.810159872+00:00,7.71
2026-01-21 12:20:42.012268032+00:00,8.38
2026-01-21 12:20:42.232332032+00:00,26.2
2026-01-21 12:20:42.442318848+00:00,28.9
2026-01-21 12:20:42.626043136+00:00,10.3
2026-01-21 12:20:42.832283136+00:00,12.8
2026-01-21 12:20:43.032041984+00:00,8.86
2026-01-21 12:20:43.248409088+00:00,13.3
2026-01-21 12:20:43.494530816+00:00,9.29
2026-01-21 12:20:43.692704+00:00,6.54
2026-01-21 12:20:43.894174976+00:00,6.5
2026-01-21 12:20:44.094841088+00:00,5.54
2026-01-21 12:20:44.318659072+00:00,23.0
2026-01-21 12:20:44.501872128+00:00,5.78
2026-01-21 12:20:44.703654144+00:00,5.56
2026-01-21 12:20:44.905255936+00:00,5.8
2026-01-21 12:20:45.107220992+00:00,6.53
2026-01-21 12:20:45.313758976+00:00,6.5
2026-01-21 12:20:45.519762944+00:00,8.3
2026-01-21 12:20:45.719816960+00:00,7.25
2026-01-21 12:20:45.919745024+00:00,5.93
2026-01-21 12:20:46.120649216+00:00,6.62
2026-01-21 12:20:46.323342080+00:00,8.19
2026-01-21 12:20:46.522988032+00:00,7.14
2026-01-21 12:20:46.733422080+00:00,15.8
2026-01-21 12:20:46.926772992+00:00,7.38
2026-01-21 12:20:47.127713792+00:00,7.16
2026-01-21 12:20:47.328301824+00:00,7.46
2026-01-21 12:20:47.529967104+00:00,5.79
2026-01-21 12:20:47.733452032+00:00,7.56
2026-01-21 12:20:47.950758912+00:00,23.6
2026-01-21 12:20:48.134438912+00:00,6.21
2026-01-21 12:20:48.339365888+00:00,7.38
2026-01-21 12:20:48.551887104+00:00,12.2
2026-01-21 12:20:48.756804096+00:00,15.9
2026-01-21 12:20:48.959976960+00:00,17.7
2026-01-21 12:20:49.151115776+00:00,7.37
2026-01-21 12:20:49.370515200+00:00,25.5
2026-01-21 12:20:49.551215872+00:00,5.2
2026-01-21 12:20:49.756198912+00:00,8.16
2026-01-21 12:20:49.956992+00:00,7.29
2026-01-21 12:20:50.158544896+00:00,6.36
2026-01-21 12:20:50.359366912+00:00,4.65
2026-01-21 12:20:50.571491072+00:00,7.18
2026-01-21 12:20:50.802701824+00:00,22.5
2026-01-21 12:20:50.989175040+00:00,5.87
2026-01-21 12:20:51.206178816+00:00,10.0
2026-01-21 12:20:51.405356800+00:00,8.21
2026-01-21 12:20:51.610336+00:00,9.05
2026-01-21 12:20:51.861700096+00:00,25.4
2026-01-21 12:20:52.052869120+00:00,14.9
2026-01-21 12:20:52.244098816+00:00,5.96
2026-01-21 12:20:52.484584960+00:00,6.8
2026-01-21 12:20:52.686575872+00:00,7.06
2026-01-21 12:20:52.938263808+00:00,5.53
2026-01-21 12:20:53.138835968+00:00,4.74
2026-01-21 12:20:53.342886912+00:00,6.31
2026-01-21 12:20:53.547002112+00:00,9.08
2026-01-21 12:20:53.754651904+00:00,13.5
2026-01-21 12:20:53.956131072+00:00,12.7
2026-01-21 12:20:54.151763968+00:00,6.95
2026-01-21 12:20:54.375365888+00:00,30.3
2026-01-21 12:20:54.583352064+00:00,37.7
2026-01-21 12:20:54.754193920+00:00,7.29
2026-01-21 12:20:54.973069056+00:00,22.2
2026-01-21 12:20:55.161869056+00:00,10.2
2026-01-21 12:20:55.357572096+00:00,5.39
2026-01-21 12:20:55.594601984+00:00,40.2
2026-01-21 12:20:55.761267968+00:00,6.03
2026-01-21 12:20:55.961210880+00:00,5.49
2026-01-21 12:20:56.182259968+00:00,8.64
2026-01-21 12:20:56.396993024+00:00,7.69
2026-01-21 12:20:56.648097024+00:00,6.39
2026-01-21 12:20:56.847794944+00:00,4.93
2026-01-21 12:20:57.105570048+00:00,5.09
2026-01-21 12:20:57.305819904+00:00,4.96
2026-01-21 12:20:57.507163136+00:00,5.25
2026-01-21 12:20:57.713478144+00:00,7.62
2026-01-21 12:20:57.913382912+00:00,6.37
2026-01-21 12:20:58.121177856+00:00,8.24
2026-01-21 12:20:58.320270080+00:00,5.5
2026-01-21 12:20:58.520410112+00:00,5.0
2026-01-21 12:20:58.823227904+00:00,5.75
2026-01-21 12:20:59.038307072+00:00,7.19
2026-01-21 12:20:59.260005888+00:00,14.2
2026-01-21 12:20:59.451576064+00:00,4.95
2026-01-21 12:20:59.651695104+00:00,4.73
2026-01-21 12:20:59.853133056+00:00,4.49
2026-01-21 12:21:00.055782144+00:00,5.75
2026-01-21 12:21:00.385998848+00:00,4.49
2026-01-21 12:21:00.590461952+00:00,7.18
2026-01-21 12:21:00.789346816+00:00,5.47
2026-01-21 12:21:00.993351936+00:00,7.73
2026-01-21 12:21:04.027291136+00:00,1998.0
2026-01-21 12:21:04.030676992+00:00,1002.0
2026-01-21 12:21:04.032728064+00:00,5.39
2026-01-21 12:21:04.393176064+00:00,165.0
2026-01-21 12:21:04.757967104+00:00,322.0
2026-01-21 12:21:05.053163008+00:00,414.0
2026-01-21 12:21:05.256653056+00:00,416.0
2026-01-21 12:21:05.460685056+00:00,418.0
2026-01-21 12:21:05.659320064+00:00,415.0
2026-01-21 12:21:05.863148032+00:00,417.0
2026-01-21 12:21:06.062665984+00:00,415.0
2026-01-21 12:21:06.261348096+00:00,413.0
2026-01-21 12:21:06.449872128+00:00,400.0
2026-01-21 12:21:06.667567872+00:00,417.0
2026-01-21 12:21:06.879318016+00:00,418.0
2026-01-21 12:21:07.081881088+00:00,419.0
2026-01-21 12:21:07.277496064+00:00,413.0
2026-01-21 12:21:07.488357120+00:00,423.0
2026-01-21 12:21:07.683094016+00:00,413.0
2026-01-21 12:21:07.887356928+00:00,416.0
2026-01-21 12:21:08.086401024+00:00,414.0
2026-01-21 12:21:08.291078144+00:00,418.0
2026-01-21 12:21:08.491234048+00:00,417.0
2026-01-21 12:21:08.697196032+00:00,421.0
2026-01-21 12:21:08.894583040+00:00,418.0
2026-01-21 12:21:09.092535040+00:00,415.0
2026-01-21 12:21:09.311431936+00:00,417.0
2026-01-21 12:21:09.514700800+00:00,412.0
2026-01-21 12:21:09.726020096+00:00,419.0
2026-01-21 12:21:09.937836800+00:00,429.0
2026-01-21 12:21:10.128130048+00:00,418.0
2026-01-21 12:21:10.331824128+00:00,419.0
2026-01-21 12:21:10.531259904+00:00,417.0
2026-01-21 12:21:10.729692928+00:00,415.0
2026-01-21 12:21:10.933774080+00:00,418.0
2026-01-21 12:21:11.135603968+00:00,418.0
2026-01-21 12:21:11.337266944+00:00,419.0
2026-01-21 12:21:11.575894016+00:00,449.0
2026-01-21 12:21:11.784894976+00:00,452.0
2026-01-21 12:21:11.955305216+00:00,422.0
2026-01-21 12:21:12.160873984+00:00,428.0
2026-01-21 12:21:12.381006080+00:00,446.0
2026-01-21 12:21:12.552353024+00:00,416.0
2026-01-21 12:21:12.751689984+00:00,412.0
2026-01-21 12:21:12.957537792+00:00,417.0
2026-01-21 12:21:13.155441152+00:00,414.0
2026-01-21 12:21:13.358803968+00:00,417.0
2026-01-21 12:21:13.559570176+00:00,416.0
2026-01-21 12:21:13.763557888+00:00,419.0
2026-01-21 12:21:13.968388096+00:00,424.0
2026-01-21 12:21:14.178276096+00:00,427.0
2026-01-21 12:21:14.364763904+00:00,413.0
2026-01-21 12:21:14.570391808+00:00,418.0
2026-01-21 12:21:14.768528896+00:00,414.0
2026-01-21 12:21:14.977075968+00:00,418.0
2026-01-21 12:21:15.176274176+00:00,415.0
2026-01-21 12:21:15.385696+00:00,423.0
2026-01-21 12:21:15.581413888+00:00,417.0
2026-01-21 12:21:15.810513920+00:00,425.0
2026-01-21 12:21:16.011332864+00:00,420.0
2026-01-21 12:21:16.216167936+00:00,421.0
2026-01-21 12:21:16.412962048+00:00,417.0
2026-01-21 12:21:16.627842048+00:00,432.0
2026-01-21 12:21:16.829550080+00:00,433.0
2026-01-21 12:21:17.013374208+00:00,414.0
2026-01-21 12:21:17.223123968+00:00,422.0
2026-01-21 12:21:17.423640064+00:00,415.0
2026-01-21 12:21:17.633848832+00:00,422.0
2026-01-21 12:21:17.843267072+00:00,419.0
2026-01-21 12:21:18.050450176+00:00,416.0
2026-01-21 12:21:18.253434880+00:00,418.0
2026-01-21 12:21:18.455463936+00:00,418.0
2026-01-21 12:21:18.663746048+00:00,424.0
2026-01-21 12:21:18.870222080+00:00,427.0
2026-01-21 12:21:19.061907968+00:00,415.0
2026-01-21 12:21:19.295258880+00:00,425.0
2026-01-21 12:21:19.485987072+00:00,413.0
2026-01-21 12:21:19.711191808+00:00,416.0
2026-01-21 12:21:19.944659968+00:00,447.0
2026-01-21 12:21:20.120348928+00:00,420.0
2026-01-21 12:21:20.361476864+00:00,416.0
2026-01-21 12:21:20.586468096+00:00,432.0
2026-01-21 12:21:20.784684032+00:00,425.0
2026-01-21 12:21:20.979211008+00:00,419.0
2026-01-21 12:21:21.184515072+00:00,423.0
2026-01-21 12:21:21.380312064+00:00,418.0
2026-01-21 12:21:21.580195840+00:00,416.0
2026-01-21 12:21:21.809725952+00:00,445.0
2026-01-21 12:21:21.985915904+00:00,420.0
2026-01-21 12:21:22.203734016+00:00,433.0
2026-01-21 12:21:22.391188992+00:00,419.0
2026-01-21 12:21:22.608448+00:00,433.0
2026-01-21 12:21:22.806691840+00:00,415.0
2026-01-21 12:21:23.023451136+00:00,415.0
2026-01-21 12:21:23.231333120+00:00,414.0
2026-01-21 12:21:23.439294208+00:00,416.0
2026-01-21 12:21:23.672129024+00:00,444.0
2026-01-21 12:21:23.842109952+00:00,413.0
2026-01-21 12:21:24.091581184+00:00,419.0
2026-01-21 12:21:24.286398976+00:00,413.0
2026-01-21 12:21:24.522905088+00:00,444.0
2026-01-21 12:21:24.700974080+00:00,421.0
2026-01-21 12:21:24.901735936+00:00,420.0
2026-01-21 12:21:25.101761024+00:00,418.0
2026-01-21 12:21:25.321732096+00:00,435.0
2026-01-21 12:21:25.511337984+00:00,423.0
2026-01-21 12:21:25.706003968+00:00,417.0
2026-01-21 12:21:25.915732992+00:00,425.0
2026-01-21 12:21:26.109095168+00:00,418.0
2026-01-21 12:21:26.341479168+00:00,425.0
2026-01-21 12:21:26.531972864+00:00,412.0
2026-01-21 12:21:26.743347968+00:00,419.0
2026-01-21 12:21:26.940408064+00:00,415.0
2026-01-21 12:21:27.146679040+00:00,416.0
2026-01-21 12:21:27.367758080+00:00,431.0
2026-01-21 12:21:27.581632+00:00,442.0
2026-01-21 12:21:27.765268992+00:00,418.0
2026-01-21 12:21:27.975041024+00:00,426.0
2026-01-21 12:21:28.171179008+00:00,420.0
2026-01-21 12:21:28.366530048+00:00,415.0
2026-01-21 12:21:28.571439104+00:00,419.0
2026-01-21 12:21:28.774126080+00:00,414.0
2026-01-21 12:21:28.980047872+00:00,419.0
2026-01-21 12:21:29.176348928+00:00,414.0
2026-01-21 12:21:29.380273152+00:00,414.0
2026-01-21 12:21:29.579476224+00:00,412.0
2026-01-21 12:21:29.779622144+00:00,412.0
2026-01-21 12:21:29.983442176+00:00,414.0
2026-01-21 12:21:30.186784+00:00,416.0
2026-01-21 12:21:30.387612160+00:00,415.0
2026-01-21 12:21:30.590560+00:00,417.0
2026-01-21 12:21:30.791220992+00:00,415.0
2026-01-21 12:21:30.994844928+00:00,419.0
2026-01-21 12:21:31.197664+00:00,421.0
2026-01-21 12:21:31.398577920+00:00,421.0
2026-01-21 12:21:31.596296960+00:00,414.0
2026-01-21 12:21:31.810342144+00:00,422.0
2026-01-21 12:21:32.019315968+00:00,429.0
2026-01-21 12:21:32.203772928+00:00,414.0
2026-01-21 12:21:32.437517824+00:00,418.0
2026-01-21 12:21:32.641572096+00:00,421.0
2026-01-21 12:21:32.847443200+00:00,424.0
2026-01-21 12:21:33.061799936+00:00,420.0
2026-01-21 12:21:33.269288960+00:00,422.0
2026-01-21 12:21:33.465419008+00:00,414.0
2026-01-21 12:21:33.684859136+00:00,415.0
2026-01-21 12:21:33.888946944+00:00,413.0
2026-01-21 12:21:34.098563840+00:00,416.0
2026-01-21 12:21:34.300455168+00:00,416.0
2026-01-21 12:21:34.509984+00:00,412.0
2026-01-21 12:21:34.720047104+00:00,419.0
2026-01-21 12:21:34.927197952+00:00,424.0
2026-01-21 12:21:35.118478080+00:00,414.0
2026-01-21 12:21:35.320178944+00:00,415.0
2026-01-21 12:21:35.521401856+00:00,413.0
2026-01-21 12:21:35.724540928+00:00,415.0
2026-01-21 12:21:35.923787008+00:00,413.0
2026-01-21 12:21:36.132594176+00:00,420.0
2026-01-21 12:21:36.330547968+00:00,418.0
2026-01-21 12:21:36.601017088+00:00,488.0
2026-01-21 12:21:36.806067968+00:00,491.0
2026-01-21 12:21:36.957321984+00:00,442.0
2026-01-21 12:21:37.134684160+00:00,418.0
2026-01-21 12:21:37.337997824+00:00,418.0
2026-01-21 12:21:37.533856+00:00,413.0
2026-01-21 12:21:37.737425920+00:00,416.0
2026-01-21 12:21:37.935392+00:00,413.0
2026-01-21 12:21:38.139553024+00:00,416.0
2026-01-21 12:21:38.338205184+00:00,414.0
2026-01-21 12:21:38.537623808+00:00,412.0
2026-01-21 12:21:38.753180928+00:00,427.0
2026-01-21 12:21:38.955617024+00:00,427.0
2026-01-21 12:21:39.171907072+00:00,439.0
2026-01-21 12:21:39.370598144+00:00,436.0
2026-01-21 12:21:39.566363136+00:00,430.0
2026-01-21 12:21:39.775506944+00:00,438.0
2026-01-21 12:21:39.953241088+00:00,415.0
2026-01-21 12:21:40.153358080+00:00,413.0
2026-01-21 12:21:40.351258880+00:00,410.0
2026-01-21 12:21:40.559504896+00:00,416.0
2026-01-21 12:21:40.763004160+00:00,419.0
2026-01-21 12:21:40.979502848+00:00,420.0
2026-01-21 12:21:41.182215936+00:00,419.0
2026-01-21 12:21:41.399117056+00:00,419.0
2026-01-21 12:21:41.597244928+00:00,415.0
2026-01-21 12:21:41.816723968+00:00,432.0
2026-01-21 12:21:42.010437120+00:00,423.0
2026-01-21 12:21:42.224366848+00:00,435.0
2026-01-21 12:21:42.407567104+00:00,417.0
2026-01-21 12:21:42.616485120+00:00,416.0
2026-01-21 12:21:42.815191040+00:00,414.0
2026-01-21 12:21:43.023606016+00:00,421.0
2026-01-21 12:21:43.221803008+00:00,419.0
2026-01-21 12:21:43.419977984+00:00,416.0
2026-01-21 12:21:43.622701824+00:00,415.0
2026-01-21 12:21:43.826603776+00:00,418.0
2026-01-21 12:21:44.027403008+00:00,417.0
2026-01-21 12:21:44.226321920+00:00,415.0
2026-01-21 12:21:44.443149056+00:00,415.0
2026-01-21 12:21:44.659427840+00:00,416.0
2026-01-21 12:21:44.879131136+00:00,425.0
2026-01-21 12:21:45.075825920+00:00,416.0
2026-01-21 12:21:45.282665984+00:00,419.0
2026-01-21 12:21:45.479398912+00:00,415.0
2026-01-21 12:21:45.677964032+00:00,413.0
2026-01-21 12:21:45.883315968+00:00,416.0
2026-01-21 12:21:46.082756096+00:00,415.0
2026-01-21 12:21:46.280495872+00:00,412.0
2026-01-21 12:21:46.484147968+00:00,415.0
2026-01-21 12:21:46.683868928+00:00,413.0
2026-01-21 12:21:46.930867968+00:00,446.0
2026-01-21 12:21:47.108849152+00:00,414.0
2026-01-21 12:21:47.353873920+00:00,423.0
2026-01-21 12:21:47.544167168+00:00,412.0
2026-01-21 12:21:47.760723200+00:00,420.0
2026-01-21 12:21:47.959991040+00:00,419.0
2026-01-21 12:21:48.167674112+00:00,418.0
2026-01-21 12:21:48.370604032+00:00,416.0
2026-01-21 12:21:48.572967936+00:00,418.0
2026-01-21 12:21:48.770937088+00:00,415.0
2026-01-21 12:21:48.991674880+00:00,418.0
2026-01-21 12:21:49.199516928+00:00,417.0
2026-01-21 12:21:49.407964928+00:00,424.0
2026-01-21 12:21:49.600493056+00:00,413.0
2026-01-21 12:21:49.832087040+00:00,424.0
2026-01-21 12:21:50.028045824+00:00,417.0
2026-01-21 12:21:50.229212928+00:00,414.0
2026-01-21 12:21:50.431757824+00:00,415.0
2026-01-21 12:21:50.649782016+00:00,420.0
2026-01-21 12:21:50.844121856+00:00,413.0
2026-01-21 12:21:51.063580160+00:00,414.0
2026-01-21 12:21:51.267468032+00:00,413.0
2026-01-21 12:21:51.479070976+00:00,416.0
2026-01-21 12:21:51.688630016+00:00,421.0
2026-01-21 12:21:51.890281984+00:00,415.0
2026-01-21 12:21:52.100606976+00:00,419.0
2026-01-21 12:21:52.297688064+00:00,415.0
2026-01-21 12:21:52.498167040+00:00,397.0
2026-01-21 12:21:52.722567168+00:00,414.0
2026-01-21 12:21:52.925368064+00:00,417.0
2026-01-21 12:21:53.134519040+00:00,415.0
2026-01-21 12:21:53.339333120+00:00,415.0
2026-01-21 12:21:53.543523072+00:00,416.0
2026-01-21 12:21:53.742135040+00:00,413.0
2026-01-21 12:21:53.947508992+00:00,416.0
2026-01-21 12:21:54.151768064+00:00,418.0
2026-01-21 12:21:54.355827968+00:00,416.0
2026-01-21 12:21:54.565598976+00:00,423.0
2026-01-21 12:21:54.772561920+00:00,428.0
2026-01-21 12:21:54.980442112+00:00,415.0
2026-01-21 12:21:55.195670016+00:00,423.0
2026-01-21 12:21:55.402224128+00:00,427.0
2026-01-21 12:21:55.632530944+00:00,436.0
2026-01-21 12:21:55.825591040+00:00,423.0
2026-01-21 12:21:56.022560+00:00,416.0
2026-01-21 12:21:56.246701056+00:00,421.0
2026-01-21 12:21:56.453406208+00:00,418.0
2026-01-21 12:21:56.653106944+00:00,412.0
2026-01-21 12:21:56.861262080+00:00,419.0
2026-01-21 12:21:57.073494016+00:00,429.0
2026-01-21 12:21:57.265906944+00:00,420.0
2026-01-21 12:21:57.465307904+00:00,417.0
2026-01-21 12:21:57.671963904+00:00,422.0
2026-01-21 12:21:57.874996992+00:00,423.0
2026-01-21 12:21:58.068207872+00:00,409.0
2026-01-21 12:21:58.273405184+00:00,414.0
2026-01-21 12:21:58.477487104+00:00,417.0
2026-01-21 12:21:58.681797120+00:00,420.0
2026-01-21 12:21:58.891316992+00:00,429.0
2026-01-21 12:21:59.100766976+00:00,419.0
2026-01-21 12:21:59.302256128+00:00,418.0
2026-01-21 12:21:59.511051776+00:00,419.0
