timestamp,iface,rx_bytes_per_s,tx_bytes_per_s,rx_packets_per_s,tx_packets_per_s,rx_dropped_per_s,tx_dropped_per_s,throughput_Mbps,backlog_pkts,rtt_ms
2026-01-21 12:20:21.050897+00:00,s2-eth2,550.574170206072,1955.1001146093172,5.618103777612981,22.472415110451923,0.0,0.0,0.020045394278523112,0,6.91
2026-01-21 12:20:21.050897+00:00,s2-eth5,0.0,505.62933998516826,0.0,5.618103777612981,0.0,0.0,0.004045034719881346,0,6.91
2026-01-21 12:20:21.050897+00:00,s1-eth2,550.574170206072,1955.1001146093172,5.618103777612981,22.472415110451923,0.0,0.0,0.020045394278523112,0,6.91
2026-01-21 12:20:21.050897+00:00,s2-eth1,550.574170206072,1955.1001146093172,5.618103777612981,22.472415110451923,0.0,0.0,0.020045394278523112,0,6.91
2026-01-21 12:20:21.251837+00:00,s2-eth2,487.70777346471584,487.70777346471584,4.976609933313426,4.976609933313426,0.0,0.0,0.007803324375435453,0,5.75
2026-01-21 12:20:21.251837+00:00,s2-eth4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.75
2026-01-21 12:20:21.251837+00:00,s1-eth4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.75
2026-01-21 12:20:21.251837+00:00,s1-eth3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.75
2026-01-21 12:20:21.251837+00:00,s1-eth2,487.70777346471584,487.70777346471584,4.976609933313426,4.976609933313426,0.0,0.0,0.007803324375435453,0,5.75
2026-01-21 12:20:21.251837+00:00,s2-eth5,447.89489399820843,0.0,4.976609933313426,0.0,0.0,0.0,0.0035831591519856674,0,5.75
2026-01-21 12:20:21.251837+00:00,s2-eth1,487.70777346471584,487.70777346471584,4.976609933313426,4.976609933313426,0.0,0.0,0.007803324375435453,0,5.75
2026-01-21 12:20:21.251837+00:00,s1-eth5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.75
