mode,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean,thr_global_rmse,thr_idle_rmse,thr_busy_rmse,thr_idle_fp,thr_idle_mean,delay_global_rmse,delay_idle_rmse,delay_busy_rmse,delay_idle_fp,delay_idle_mean
lead1,queue_pkts,5.478352494045668,4.133699995855589,5.478352494045668,4.778943271312379,11.555241206984581,0.00039603960396039607,3.52317261377663,,,,,,,,,,
lead1,throughput_Mbps,0.19425320934404375,0.00440051220220218,,,,,,0.19425320934404375,0.12837294742499614,0.3147249796111932,0.00997506234413965,0.00998904975327715,,,,,
lead1,utilization,0.06933181151642917,0.00020445131107003746,,,,,,,,,,,,,,,
lead1,qdelay_ms,306.5303227278681,306.47701492669853,,,,,,,,,,,306.5303227278681,10.099216112393494,375.35351476232916,0.013333333333333334,10.987895767423842
