mode,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean,thr_global_rmse,thr_idle_rmse,thr_busy_rmse,thr_idle_fp,thr_idle_mean,delay_global_rmse,delay_idle_rmse,delay_busy_rmse,delay_idle_fp,delay_idle_mean
lead1,queue_pkts,3.1511317340498963,0.0,3.1511317340498963,1.7842924000938112,10.356823381603036,0.00039603960396039607,0.07812456640866723,,,,,,,,,,
lead1,throughput_Mbps,0.20012257294488772,0.001587091717008188,,,,,,0.20012257294488772,0.14464725139130497,0.30858729054062556,0.010972568578553617,0.011693984108217563,,,,,
lead1,utilization,0.06885537413475493,0.00021098900300880284,,,,,,,,,,,,,,,
lead1,qdelay_ms,311.5516112508174,311.98181294517667,,,,,,,,,,,311.5516112508174,9.128865625222277,381.51663347181733,0.022222222222222223,9.986483222643534
