mode,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean,thr_global_rmse,thr_idle_rmse,thr_busy_rmse,thr_idle_fp,thr_idle_mean,delay_global_rmse,delay_idle_rmse,delay_busy_rmse,delay_idle_fp,delay_idle_mean
lead1,queue_pkts,2.14130639501992,0.0,2.14130639501992,1.8009763648853816,4.893227824536014,0.00039603960396039607,0.07720410078763962,,,,,,,,,,
lead1,throughput_Mbps,0.2333134726962678,0.03860367913200857,,,,,,0.2333134726962678,0.21005713947068577,0.29014100508454427,0.3192019950124688,0.07533105462789536,,,,,
lead1,utilization,0.0792578508952043,0.0002962029128889667,,,,,,,,,,,,,,,
lead1,qdelay_ms,55.17261412043763,62.48420947122868,,,,,,,,,,,55.17261412043763,58.883357267713095,53.22030760682899,0.028888888888888888,9.56129264831543
