PING 10.0.0.13 (10.0.0.13) 56(84) bytes of data.
no answer yet for icmp_seq=315
no answer yet for icmp_seq=316
no answer yet for icmp_seq=317
64 bytes from 10.0.0.13: icmp_seq=315 ttl=64 time=828 ms
no answer yet for icmp_seq=318
no answer yet for icmp_seq=319
64 bytes from 10.0.0.13: icmp_seq=316 ttl=64 time=1079 ms
no answer yet for icmp_seq=320
no answer yet for icmp_seq=321
64 bytes from 10.0.0.13: icmp_seq=317 ttl=64 time=1645 ms
no answer yet for icmp_seq=322
no answer yet for icmp_seq=323
no answer yet for icmp_seq=324
no answer yet for icmp_seq=325
no answer yet for icmp_seq=326
no answer yet for icmp_seq=327
no answer yet for icmp_seq=328
no answer yet for icmp_seq=329
no answer yet for icmp_seq=330
64 bytes from 10.0.0.13: icmp_seq=318 ttl=64 time=8563 ms
no answer yet for icmp_seq=331
no answer yet for icmp_seq=332
64 bytes from 10.0.0.13: icmp_seq=319 ttl=64 time=9296 ms
no answer yet for icmp_seq=333
64 bytes from 10.0.0.13: icmp_seq=320 ttl=64 time=9965 ms
64 bytes from 10.0.0.13: icmp_seq=321 ttl=64 time=9290 ms
64 bytes from 10.0.0.13: icmp_seq=322 ttl=64 time=9105 ms
no answer yet for icmp_seq=334
no answer yet for icmp_seq=335
no answer yet for icmp_seq=336
no answer yet for icmp_seq=337
no answer yet for icmp_seq=338
no answer yet for icmp_seq=339
64 bytes from 10.0.0.13: icmp_seq=335 ttl=64 time=6967 ms
no answer yet for icmp_seq=340
64 bytes from 10.0.0.13: icmp_seq=336 ttl=64 time=6009 ms
64 bytes from 10.0.0.13: icmp_seq=337 ttl=64 time=5016 ms
64 bytes from 10.0.0.13: icmp_seq=338 ttl=64 time=4016 ms
64 bytes from 10.0.0.13: icmp_seq=339 ttl=64 time=3039 ms
64 bytes from 10.0.0.13: icmp_seq=340 ttl=64 time=1051 ms
64 bytes from 10.0.0.13: icmp_seq=341 ttl=64 time=51.5 ms
no answer yet for icmp_seq=342
no answer yet for icmp_seq=343
64 bytes from 10.0.0.13: icmp_seq=342 ttl=64 time=500 ms
64 bytes from 10.0.0.13: icmp_seq=343 ttl=64 time=295 ms
64 bytes from 10.0.0.13: icmp_seq=344 ttl=64 time=84.2 ms
64 bytes from 10.0.0.13: icmp_seq=345 ttl=64 time=18.6 ms
64 bytes from 10.0.0.13: icmp_seq=346 ttl=64 time=16.1 ms
64 bytes from 10.0.0.13: icmp_seq=347 ttl=64 time=19.9 ms
64 bytes from 10.0.0.13: icmp_seq=348 ttl=64 time=16.3 ms
64 bytes from 10.0.0.13: icmp_seq=349 ttl=64 time=17.6 ms
64 bytes from 10.0.0.13: icmp_seq=350 ttl=64 time=20.2 ms
64 bytes from 10.0.0.13: icmp_seq=351 ttl=64 time=16.8 ms
64 bytes from 10.0.0.13: icmp_seq=352 ttl=64 time=16.1 ms
64 bytes from 10.0.0.13: icmp_seq=353 ttl=64 time=15.9 ms
64 bytes from 10.0.0.13: icmp_seq=354 ttl=64 time=17.3 ms
64 bytes from 10.0.0.13: icmp_seq=355 ttl=64 time=16.6 ms
64 bytes from 10.0.0.13: icmp_seq=356 ttl=64 time=16.0 ms
64 bytes from 10.0.0.13: icmp_seq=357 ttl=64 time=20.2 ms
