PING 10.0.0.12 (10.0.0.12) 56(84) bytes of data.
64 bytes from 10.0.0.12: icmp_seq=1 ttl=64 time=36.5 ms
64 bytes from 10.0.0.12: icmp_seq=2 ttl=64 time=29.1 ms
64 bytes from 10.0.0.12: icmp_seq=3 ttl=64 time=31.5 ms
64 bytes from 10.0.0.12: icmp_seq=4 ttl=64 time=32.1 ms
64 bytes from 10.0.0.12: icmp_seq=5 ttl=64 time=46.4 ms
64 bytes from 10.0.0.12: icmp_seq=6 ttl=64 time=34.7 ms
64 bytes from 10.0.0.12: icmp_seq=7 ttl=64 time=30.8 ms
64 bytes from 10.0.0.12: icmp_seq=8 ttl=64 time=30.5 ms
64 bytes from 10.0.0.12: icmp_seq=9 ttl=64 time=26.8 ms
64 bytes from 10.0.0.12: icmp_seq=10 ttl=64 time=35.2 ms
64 bytes from 10.0.0.12: icmp_seq=11 ttl=64 time=31.5 ms
64 bytes from 10.0.0.12: icmp_seq=12 ttl=64 time=30.0 ms
64 bytes from 10.0.0.12: icmp_seq=13 ttl=64 time=30.5 ms
64 bytes from 10.0.0.12: icmp_seq=14 ttl=64 time=37.9 ms
64 bytes from 10.0.0.12: icmp_seq=15 ttl=64 time=26.8 ms
64 bytes from 10.0.0.12: icmp_seq=16 ttl=64 time=30.5 ms
64 bytes from 10.0.0.12: icmp_seq=17 ttl=64 time=32.4 ms
64 bytes from 10.0.0.12: icmp_seq=18 ttl=64 time=32.3 ms
64 bytes from 10.0.0.12: icmp_seq=19 ttl=64 time=35.5 ms
64 bytes from 10.0.0.12: icmp_seq=20 ttl=64 time=28.4 ms
64 bytes from 10.0.0.12: icmp_seq=21 ttl=64 time=32.7 ms
64 bytes from 10.0.0.12: icmp_seq=22 ttl=64 time=29.1 ms
64 bytes from 10.0.0.12: icmp_seq=23 ttl=64 time=32.2 ms
64 bytes from 10.0.0.12: icmp_seq=24 ttl=64 time=45.7 ms
64 bytes from 10.0.0.12: icmp_seq=25 ttl=64 time=31.1 ms
64 bytes from 10.0.0.12: icmp_seq=26 ttl=64 time=28.6 ms
64 bytes from 10.0.0.12: icmp_seq=27 ttl=64 time=35.5 ms
64 bytes from 10.0.0.12: icmp_seq=28 ttl=64 time=36.3 ms
64 bytes from 10.0.0.12: icmp_seq=29 ttl=64 time=33.0 ms
64 bytes from 10.0.0.12: icmp_seq=30 ttl=64 time=35.8 ms
64 bytes from 10.0.0.12: icmp_seq=31 ttl=64 time=39.3 ms
64 bytes from 10.0.0.12: icmp_seq=32 ttl=64 time=30.9 ms
64 bytes from 10.0.0.12: icmp_seq=33 ttl=64 time=39.6 ms
64 bytes from 10.0.0.12: icmp_seq=34 ttl=64 time=35.5 ms
64 bytes from 10.0.0.12: icmp_seq=35 ttl=64 time=36.4 ms
64 bytes from 10.0.0.12: icmp_seq=36 ttl=64 time=29.7 ms
64 bytes from 10.0.0.12: icmp_seq=37 ttl=64 time=35.7 ms
64 bytes from 10.0.0.12: icmp_seq=38 ttl=64 time=33.7 ms
64 bytes from 10.0.0.12: icmp_seq=39 ttl=64 time=31.0 ms
64 bytes from 10.0.0.12: icmp_seq=40 ttl=64 time=26.1 ms
64 bytes from 10.0.0.12: icmp_seq=41 ttl=64 time=28.8 ms
64 bytes from 10.0.0.12: icmp_seq=42 ttl=64 time=46.1 ms
64 bytes from 10.0.0.12: icmp_seq=43 ttl=64 time=42.7 ms
64 bytes from 10.0.0.12: icmp_seq=44 ttl=64 time=35.5 ms
64 bytes from 10.0.0.12: icmp_seq=45 ttl=64 time=32.6 ms
64 bytes from 10.0.0.12: icmp_seq=46 ttl=64 time=32.4 ms
64 bytes from 10.0.0.12: icmp_seq=47 ttl=64 time=34.9 ms
64 bytes from 10.0.0.12: icmp_seq=48 ttl=64 time=42.0 ms
64 bytes from 10.0.0.12: icmp_seq=49 ttl=64 time=32.3 ms
64 bytes from 10.0.0.12: icmp_seq=50 ttl=64 time=39.5 ms
64 bytes from 10.0.0.12: icmp_seq=51 ttl=64 time=39.7 ms
64 bytes from 10.0.0.12: icmp_seq=52 ttl=64 time=28.3 ms
64 bytes from 10.0.0.12: icmp_seq=53 ttl=64 time=31.2 ms
64 bytes from 10.0.0.12: icmp_seq=54 ttl=64 time=28.9 ms
64 bytes from 10.0.0.12: icmp_seq=55 ttl=64 time=31.3 ms
64 bytes from 10.0.0.12: icmp_seq=56 ttl=64 time=29.0 ms
64 bytes from 10.0.0.12: icmp_seq=57 ttl=64 time=35.3 ms
64 bytes from 10.0.0.12: icmp_seq=58 ttl=64 time=52.4 ms
64 bytes from 10.0.0.12: icmp_seq=59 ttl=64 time=150 ms
64 bytes from 10.0.0.12: icmp_seq=60 ttl=64 time=95.3 ms
64 bytes from 10.0.0.12: icmp_seq=61 ttl=64 time=95.7 ms
64 bytes from 10.0.0.12: icmp_seq=62 ttl=64 time=92.1 ms
64 bytes from 10.0.0.12: icmp_seq=63 ttl=64 time=90.3 ms
64 bytes from 10.0.0.12: icmp_seq=64 ttl=64 time=79.7 ms
64 bytes from 10.0.0.12: icmp_seq=65 ttl=64 time=55.9 ms
64 bytes from 10.0.0.12: icmp_seq=66 ttl=64 time=53.5 ms
64 bytes from 10.0.0.12: icmp_seq=67 ttl=64 time=50.2 ms
64 bytes from 10.0.0.12: icmp_seq=68 ttl=64 time=42.2 ms
64 bytes from 10.0.0.12: icmp_seq=69 ttl=64 time=56.6 ms
64 bytes from 10.0.0.12: icmp_seq=70 ttl=64 time=38.3 ms
64 bytes from 10.0.0.12: icmp_seq=71 ttl=64 time=63.3 ms
64 bytes from 10.0.0.12: icmp_seq=72 ttl=64 time=51.5 ms
64 bytes from 10.0.0.12: icmp_seq=73 ttl=64 time=42.2 ms
