timestamp,iface,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,backlog_bytes,backlog_pkts
2026-01-19T15:37:43.113638+00:00,s1-eth1,992,656,12,8,0,0,0,0
2026-01-19T15:37:43.113638+00:00,s1-eth2,656,992,8,12,0,0,0,0
2026-01-19T15:37:43.113638+00:00,s1-eth3,516,894,6,11,0,0,0,0
2026-01-19T15:37:43.113638+00:00,s1-eth4,516,894,6,11,0,0,0,0
2026-01-19T15:37:43.113638+00:00,s1-eth5,516,894,6,11,0,0,0,0
2026-01-19T15:37:43.113638+00:00,s2-eth1,656,992,8,12,0,0,0,0
2026-01-19T15:37:43.113638+00:00,s2-eth2,656,992,8,12,0,0,160,2
2026-01-19T15:37:43.113638+00:00,s2-eth3,426,644,5,8,0,0,0,0
2026-01-19T15:37:43.113638+00:00,s2-eth4,426,894,5,11,0,0,0,0
2026-01-19T15:37:43.113638+00:00,s2-eth5,266,628,3,8,0,0,0,0
2026-01-19T15:37:43.315089+00:00,s1-eth1,1340,754,16,9,0,0,0,0
2026-01-19T15:37:43.315089+00:00,s1-eth2,754,1340,9,16,0,0,0,0
2026-01-19T15:37:43.315089+00:00,s1-eth3,516,1144,6,14,0,0,0,0
2026-01-19T15:37:43.315089+00:00,s1-eth4,516,1144,6,14,0,0,0,0
2026-01-19T15:37:43.315089+00:00,s1-eth5,516,1144,6,14,0,0,0,0
2026-01-19T15:37:43.315089+00:00,s2-eth1,754,1340,9,16,0,0,0,0
2026-01-19T15:37:43.315089+00:00,s2-eth2,754,1340,9,16,0,0,0,0
2026-01-19T15:37:43.315089+00:00,s2-eth3,516,804,6,10,0,0,0,0
2026-01-19T15:37:43.315089+00:00,s2-eth4,426,984,5,12,0,0,0,0
2026-01-19T15:37:43.315089+00:00,s2-eth5,266,718,3,9,0,0,0,0
2026-01-19T15:37:43.514041+00:00,s1-eth1,1438,852,17,10,0,0,0,0
2026-01-19T15:37:43.514041+00:00,s1-eth2,852,1438,10,17,0,0,0,0
2026-01-19T15:37:43.514041+00:00,s1-eth3,516,1144,6,14,0,0,0,0
2026-01-19T15:37:43.514041+00:00,s1-eth4,516,1144,6,14,0,0,0,0
2026-01-19T15:37:43.514041+00:00,s1-eth5,516,1144,6,14,0,0,0,0
2026-01-19T15:37:43.514041+00:00,s2-eth1,852,1438,10,17,0,0,0,0
2026-01-19T15:37:43.514041+00:00,s2-eth2,852,1438,10,17,0,0,0,0
2026-01-19T15:37:43.514041+00:00,s2-eth3,516,894,6,11,0,0,0,0
