mode,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean
lead1,queue_pkts,4.112820206194654,0.023809523809523808,4.112820206194654,2.583118849542306,13.189820251442317,0.0014492753623188406,0.13321664929389954
lead1,throughput_Mbps,0.9402228255229543,0.8320598160455759,,,,,
lead1,utilization,0.16297775732663985,7.26298303393952e-05,,,,,
lead1,rtt_ms,93.30839206961687,97.16766042566437,,,,,
