mode,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean,thr_global_rmse,thr_idle_rmse,thr_busy_rmse,thr_idle_fp,thr_idle_mean,delay_global_rmse,delay_idle_rmse,delay_busy_rmse,delay_idle_fp,delay_idle_mean
lead1,queue_pkts,4.091942208911303,0.023809523809523808,4.091942208911303,3.129779106806311,11.10347944222839,0.002173913043478261,0.1882225126028061,,,,,,,,,,
lead1,throughput_Mbps,1.350577773617969,0.05500340707283589,,,,,,1.350577773617969,0.04947888875832234,2.6762400246334286,0.008211678832116789,0.003271532477810979,,,,,
lead1,utilization,0.091848197957488,1.8089636938418168e-06,,,,,,,,,,,,,,,
lead1,qdelay_ms,180.19095328676116,190.10128805606158,,,,,,,,,,,180.19095328676116,0.28322720071516716,205.51915442931696,0.0,0.0
