mode,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean,thr_global_rmse,thr_idle_rmse,thr_busy_rmse,thr_idle_fp,thr_idle_mean,delay_global_rmse,delay_idle_rmse,delay_busy_rmse,delay_idle_fp,delay_idle_mean
nowcast,queue_pkts,11.26804543431051,0.023769134427076417,11.26804543431051,1.0844466716745724,45.4178448310003,0.0,0.01746700517833233,,,,,,,,,,
nowcast,throughput_Mbps,1.1989238908044229,0.13564295366745716,,,,,,1.1989238908044229,0.12166730383751545,2.3717895568128675,0.0027247956403269754,0.004645944572985172,,,,,
nowcast,utilization,0.054682696797703816,1.8166842686199532e-06,,,,,,,,,,,,,,,
nowcast,qdelay_ms,77.5798054017582,78.94333963335029,,,,,,,,,,,77.5798054017582,4.1424992814994726,88.60548610886676,0.007246376811594203,0.3354775607585907
