mode,method,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean,thr_global_rmse,thr_idle_rmse,thr_busy_rmse,thr_idle_fp,thr_idle_mean,delay_global_rmse,delay_idle_rmse,delay_busy_rmse,delay_idle_fp,delay_idle_mean
nowcast,zero,queue_pkts,20.838482979366706,0.023769134427076417,20.838482979366706,1.0194852527160043,84.26598100986872,0.0,0.0,,,,,,,,,,
nowcast,zero,throughput_Mbps,1.3509435307029634,0.0018167026118169598,,,,,,1.3509435307029634,0.004023689068340829,2.6828473774072576,0.0,0.0,,,,,
nowcast,zero,utilization,0.3268184965834092,1.8167026080457572e-06,,,,,,,,,,,,,,,
nowcast,zero,qdelay_ms,354.0115595912293,354.0115595912293,,,,,,,,,,,354.0115595912293,0.2811673391905371,404.45871684518045,0.0,0.0
nowcast,persistence,queue_pkts,2.1415185488141946,0.033614632272640714,2.1415185488141946,1.494273062582461,6.387487769068525,0.0007220216606498195,0.09458483754512635,,,,,,,,,,
nowcast,persistence,throughput_Mbps,0.8357060931842752,0.0025132499765838203,,,,,,0.8357060931842752,0.08920728289669054,1.6525666338228866,0.004541326067211626,0.006783464961090158,,,,,
nowcast,persistence,utilization,0.06915930939805047,2.51324997359321e-06,,,,,,,,,,,,,,,
nowcast,persistence,qdelay_ms,51.00198235524257,51.00198235524257,,,,,,,,,,,51.00198235524257,17.862546144753946,57.42786094017767,0.2028985507246377,3.0198550962883495
