mode,method,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean,thr_global_rmse,thr_idle_rmse,thr_busy_rmse,thr_idle_fp,thr_idle_mean,delay_global_rmse,delay_idle_rmse,delay_busy_rmse,delay_idle_fp,delay_idle_mean
lead1,zero,queue_pkts,20.873892491701255,0.023809523809523808,20.873892491701255,1.0213304764027096,84.26598100986872,0.0,0.0,,,,,,,,,,
lead1,zero,throughput_Mbps,1.3532390779323977,0.0018197896193311361,,,,,,1.3532390779323977,0.004021399336382381,2.6828473774072576,0.0,0.0,,,,,
lead1,zero,utilization,0.3273738223578332,1.8197896155535253e-06,,,,,,,,,,,,,,,
lead1,zero,qdelay_ms,354.61310897936517,354.61310897936517,,,,,,,,,,,354.61310897936517,0.28322720071516716,404.45871684518045,0.0,0.0
lead1,persistence,queue_pkts,2.145078214009384,0.03367175148507369,2.145078214009384,1.4968566097475495,6.387487769068525,0.0007246376811594203,0.09456521739130434,,,,,,,,,,
lead1,persistence,throughput_Mbps,0.8371261525674433,0.002517520582852701,,,,,,0.8371261525674433,0.08941049779532051,1.6525666338228866,0.004562043795620438,0.006800245242497126,,,,,
lead1,persistence,utilization,0.0692768274061387,2.5175205798570087e-06,,,,,,,,,,,,,,,
lead1,persistence,qdelay_ms,51.08864678878519,51.08864678878519,,,,,,,,,,,51.08864678878519,17.993409038152006,57.42786094017767,0.20588235294117646,3.0642647300572956
lead1,ar1,queue_pkts,2.1449053251066172,0.023809523809523808,2.1449053251066172,1.4795639648741328,6.448030335608399,0.0007246376811594203,0.07480688847293868,,,,,,,,,,
lead1,ar1,throughput_Mbps,0.8009416284090761,0.0018206815776751237,,,,,,0.8009416284090761,0.08373381022662367,1.5814191595346967,0.004105839416058394,0.006351603812432279,,,,,
lead1,ar1,utilization,0.06899147816540298,1.819725921836713e-06,,,,,,,,,,,,,,,
lead1,ar1,qdelay_ms,51.05725577903933,51.05725577903934,,,,,,,,,,,51.05725577903933,17.960880662253825,57.39459789943784,0.20588235294117646,3.058730945044715
lead1,kalman_queue,queue_pkts,3.7454995827657096,0.026540257628062083,3.7454995827657096,2.5125681390833443,11.50379141903105,0.0014492753623188406,0.19091683435895196,,,,,,,,,,
