method,global_RMSE,idle_RMSE,busy_RMSE,idle_FP_rate,idle_mean_pred,n_idle,n_busy
Zero,152.28181764126336,0.0,986.8989732152594,0.0,0.0,492,12
Copy sensor_backlog,0.0,0.0,0.0,0.0,0.0,492,12
AR1_next feature,3.144168211933612,0.0,20.37653889371843,0.0,0.0,492,12
GNN (raw),214.26336178311877,216.78605894586832,36.401854689165276,0.266260162601626,97.96283096220435,492,12
GNN (scale),125.58054073962488,73.39958149822374,664.4338882044523,0.11585365853658537,33.16832653729896,492,12
GNN (soft+scale),52.26985709698787,47.54613420467148,148.53876386084053,0.07723577235772358,13.579812114604,492,12
