timestamp,iface,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,backlog_bytes,backlog_pkts,qlen_pkts
2025-10-10T15:29:00.170128,s1-eth1,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:00.170128,s1-eth2,936,1466,12,19,0,0,0,0,1000
2025-10-10T15:29:00.170128,s1-eth3,796,1606,10,21,0,0,0,0,1000
2025-10-10T15:29:00.170128,s1-eth4,1116,1146,14,15,0,0,0,0,1000
2025-10-10T15:29:00.170128,s2-eth1,1816,656,24,8,0,0,0,0,1000
2025-10-10T15:29:00.170128,s2-eth2,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:00.170128,s2-eth3,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:00.170128,s2-eth4,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:00.170128,s2-eth5,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:00.170128,s3-eth1,1466,936,19,12,0,0,0,0,1000
2025-10-10T15:29:00.170128,s3-eth2,656,1676,8,22,0,0,0,0,1000
2025-10-10T15:29:00.170128,s3-eth3,656,1676,8,22,0,0,0,0,1000
2025-10-10T15:29:00.170128,s3-eth4,656,1676,8,22,0,0,0,0,1000
2025-10-10T15:29:00.170128,s3-eth5,656,1676,8,22,0,0,0,0,1000
2025-10-10T15:29:00.170128,s4-eth1,1606,796,21,10,0,0,0,0,1000
2025-10-10T15:29:00.170128,s4-eth2,656,1676,8,22,0,0,0,0,1000
2025-10-10T15:29:00.170128,s4-eth3,586,1746,7,23,0,0,0,0,1000
2025-10-10T15:29:00.170128,s4-eth4,586,1676,7,22,0,0,0,0,1000
2025-10-10T15:29:00.170128,s4-eth5,586,1676,7,22,0,0,0,0,1000
2025-10-10T15:29:00.170128,s5-eth1,1146,1116,15,14,0,0,0,0,1000
2025-10-10T15:29:00.170128,s5-eth2,586,1606,7,21,0,0,0,0,1000
2025-10-10T15:29:00.170128,s5-eth3,586,1606,7,21,0,0,0,0,1000
2025-10-10T15:29:00.170128,s5-eth4,586,1606,7,21,0,0,0,0,1000
2025-10-10T15:29:00.170128,s5-eth5,586,1196,7,16,0,0,0,0,1000
2025-10-10T15:29:01.325455,s1-eth1,656,1956,8,26,0,0,0,0,1000
2025-10-10T15:29:01.325455,s1-eth2,936,1606,12,21,0,0,0,0,1000
2025-10-10T15:29:01.325455,s1-eth3,866,1676,11,22,0,0,0,0,1000
2025-10-10T15:29:01.325455,s1-eth4,1186,1286,15,17,0,0,0,0,1000
2025-10-10T15:29:01.325455,s2-eth1,1956,656,26,8,0,0,0,0,1000
2025-10-10T15:29:01.325455,s2-eth2,656,1956,8,26,0,0,0,0,1000
2025-10-10T15:29:01.325455,s2-eth3,656,1956,8,26,0,0,0,0,1000
2025-10-10T15:29:01.325455,s2-eth4,656,1956,8,26,0,0,0,0,1000
2025-10-10T15:29:01.325455,s2-eth5,656,1956,8,26,0,0,0,0,1000
2025-10-10T15:29:01.325455,s3-eth1,1606,936,21,12,0,0,0,0,1000
2025-10-10T15:29:01.325455,s3-eth2,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:01.325455,s3-eth3,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:01.325455,s3-eth4,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:01.325455,s3-eth5,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:01.325455,s4-eth1,1676,866,22,11,0,0,0,0,1000
2025-10-10T15:29:01.325455,s4-eth2,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:01.325455,s4-eth3,656,1816,8,24,0,0,0,0,1000
2025-10-10T15:29:01.325455,s4-eth4,586,1886,7,25,0,0,0,0,1000
2025-10-10T15:29:01.325455,s4-eth5,586,1816,7,24,0,0,0,0,1000
2025-10-10T15:29:01.325455,s5-eth1,1286,1186,17,15,0,0,0,0,1000
2025-10-10T15:29:01.325455,s5-eth2,586,1746,7,23,0,0,0,0,1000
2025-10-10T15:29:01.325455,s5-eth3,586,1746,7,23,0,0,0,0,1000
2025-10-10T15:29:01.325455,s5-eth4,586,1746,7,23,0,0,0,0,1000
2025-10-10T15:29:01.325455,s5-eth5,586,1336,7,18,0,0,0,0,1000
2025-10-10T15:29:02.498927,s1-eth1,656,2026,8,27,0,0,0,0,1000
2025-10-10T15:29:02.498927,s1-eth2,936,1676,12,22,0,0,0,0,1000
2025-10-10T15:29:02.498927,s1-eth3,936,1676,12,22,0,0,0,0,1000
2025-10-10T15:29:02.498927,s1-eth4,1186,1356,15,18,0,0,0,0,1000
2025-10-10T15:29:02.498927,s2-eth1,2026,656,27,8,0,0,0,0,1000
2025-10-10T15:29:02.498927,s2-eth2,656,2026,8,27,0,0,0,0,1000
2025-10-10T15:29:02.498927,s2-eth3,656,2026,8,27,0,0,0,0,1000
2025-10-10T15:29:02.498927,s2-eth4,656,2026,8,27,0,0,0,0,1000
2025-10-10T15:29:02.498927,s2-eth5,656,2026,8,27,0,0,0,0,1000
2025-10-10T15:29:02.498927,s3-eth1,1676,936,22,12,0,0,0,0,1000
2025-10-10T15:29:02.498927,s3-eth2,656,1886,8,25,0,0,0,0,1000
2025-10-10T15:29:02.498927,s3-eth3,656,1886,8,25,0,0,0,0,1000
