mode,method,target,rmse_global,rmse_nonSensor,queue_global_rmse,queue_idle_rmse,queue_busy_rmse,queue_idle_fp,queue_idle_mean,thr_global_rmse,thr_idle_rmse,thr_busy_rmse,thr_idle_fp,thr_idle_mean,delay_global_rmse,delay_idle_rmse,delay_busy_rmse,delay_idle_fp,delay_idle_mean
lead1,zero,queue_pkts,21.599693360016786,0.0,21.599693360016786,1.076955531817429,84.24463434451825,0.0,0.0,,,,,,,,,,
lead1,zero,throughput_Mbps,1.2932521592238748,0.001942963200728629,,,,,,1.2932521592238748,0.003716600892375366,2.4793352535021453,0.0,0.0,,,,,
lead1,zero,utilization,0.3661603659867071,1.9429632669443687e-06,,,,,,,,,,,,,,,
lead1,zero,qdelay_ms,334.068995641927,334.068995641927,,,,,,,,,,,334.068995641927,0.5112951436009457,360.83569564778304,0.0,0.0
lead1,persistence,queue_pkts,1.9570053985286116,0.0,1.9570053985286116,1.4776537945752566,5.223708329613292,0.0006949270326615705,0.07713690062543432,,,,,,,,,,
lead1,persistence,throughput_Mbps,0.16924318377357894,0.0027477649096622654,,,,,,0.16924318377357894,0.053584091072069885,0.3124005768031207,0.0044603033006244425,0.004589892036541566,,,,,
lead1,persistence,utilization,0.04170572952745667,2.747765003305463e-06,,,,,,,,,,,,,,,
lead1,persistence,qdelay_ms,46.5092949721415,46.5092949721415,,,,,,,,,,,46.5092949721415,100.61267154055668,28.92199842424367,0.36363636363636365,22.274090634150937
lead1,ar1,queue_pkts,1.9556941022472383,0.0,1.9556941022472383,1.4720172707659716,5.238871625382488,0.0006949270326615705,0.0735507685096923,,,,,,,,,,
lead1,ar1,throughput_Mbps,0.16896682510062597,0.0019509792964792782,,,,,,0.16896682510062597,0.05291276985090179,0.31215679454761197,0.0044603033006244425,0.004456942505739258,,,,,
lead1,ar1,utilization,0.041712156656485214,1.9429633763336823e-06,,,,,,,,,,,,,,,
lead1,ar1,qdelay_ms,51.118236514834514,51.11823651483452,,,,,,,,,,,51.118236514834514,93.63278247010247,39.84223215302326,0.36363636363636365,20.728865570911566
lead1,kalman_queue,queue_pkts,3.6769923817617354,2.362880130394329e-45,3.6769923817617354,2.471934931917451,10.912915920027778,0.001389854065323141,0.16893823398536054,,,,,,,,,,
